"","geo_id","name","year","agri","amenities","construction","education","finance","information","professional","retail","total_emp","transportation","wholesale"
"1",14460,"Boston-Cambridge-Newton",2013,6078,210812,119561,675794,197954,61230,373515,250684,2458317,84913,56324
"2",14460,"Boston-Cambridge-Newton",2014,7739,222310,131304,675032,201613,70706,365910,245601,2491650,87761,60412
"3",14460,"Boston-Cambridge-Newton",2015,6505,229187,132643,701302,200128,67740,390691,251710,2553286,95555,54547
"4",14460,"Boston-Cambridge-Newton",2016,7193,226181,139321,698056,210683,64063,396985,257913,2588273,87728,58319
"5",14460,"Boston-Cambridge-Newton",2017,8055,223999,143632,724017,208553,64891,408779,257821,2627364,96205,54550
"6",14460,"Boston-Cambridge-Newton",2018,8357,230769,139131,722996,207068,62685,425636,254318,2638204,96555,53460
"7",14460,"Boston-Cambridge-Quincy",2010,8104,191480,116852,627351,191599,67059,337520,249511,2321659,80311,58579
"8",14460,"Boston-Cambridge-Quincy",2011,6722,190825,120498,639628,202007,55789,333865,251706,2349039,83228,58770
"9",14460,"Boston-Cambridge-Quincy",2012,7717,218841,133937,651591,201850,56363,337265,248471,2406123,87554,53893
"10",14860,"Bridgeport-Stamford-Norwalk",2010,1141,31391,27148,93202,51514,13382,69894,45981,432039,13443,12198
"11",14860,"Bridgeport-Stamford-Norwalk",2011,1017,35115,29601,100440,53927,12706,66621,47234,448190,14881,11370
"12",14860,"Bridgeport-Stamford-Norwalk",2012,1057,37892,27298,101122,55767,13059,71137,50379,456529,14737,10519
"13",14860,"Bridgeport-Stamford-Norwalk",2013,1459,39670,30528,96915,53224,12006,78627,51523,463442,13655,10433
"14",14860,"Bridgeport-Stamford-Norwalk",2014,1449,41606,31647,105718,63376,13833,68707,49843,471048,13193,11128
"15",14860,"Bridgeport-Stamford-Norwalk",2015,1230,36241,32647,108393,56905,13077,74382,48596,472541,16876,13647
"16",14860,"Bridgeport-Stamford-Norwalk",2016,1439,38781,29857,108719,53596,12531,75534,50638,476587,16818,12806
"17",14860,"Bridgeport-Stamford-Norwalk",2017,1238,41023,32320,110274,53452,15247,76090,49686,479747,17032,10608
"18",14860,"Bridgeport-Stamford-Norwalk",2018,1236,39673,31955,108736,53285,12393,77537,47217,480867,17956,11955
"19",25540,"Hartford-West Hartford-East Hartford",2010,2404,49126,31320,153755,64640,14778,59222,63912,595596,23400,14410
"20",25540,"Hartford-West Hartford-East Hartford",2011,2019,47172,29677,155066,65790,12303,60226,66440,595323,25073,14596
"21",25540,"Hartford-West Hartford-East Hartford",2012,1602,44280,30779,168734,63824,14190,59872,60440,601087,22326,14887
"22",25540,"Hartford-West Hartford-East Hartford",2013,2565,47641,29558,154576,62711,11167,65909,67133,599081,20831,17545
"23",25540,"Hartford-West Hartford-East Hartford",2014,1933,48308,30725,160107,65979,15916,67018,65592,616483,22275,16721
"24",25540,"Hartford-West Hartford-East Hartford",2015,2183,44883,32482,166243,66855,13646,65835,62036,617809,25989,15230
"25",25540,"Hartford-West Hartford-East Hartford",2016,2023,47584,31975,164659,66729,12675,68724,60913,613420,21880,16554
"26",25540,"Hartford-West Hartford-East Hartford",2017,2166,47312,33784,162142,61432,13374,62094,62301,611699,30060,11844
"27",25540,"Hartford-West Hartford-East Hartford",2018,2232,44620,35599,165291,64427,12648,68572,66458,620747,30356,14008
"28",35300,"New Haven-Milford",2010,1447,35392,18646,134278,26025,10124,37032,45565,420431,16306,10140
"29",35300,"New Haven-Milford",2011,1945,29752,20480,132516,26590,8800,34995,45940,414335,17474,11943
"30",35300,"New Haven-Milford",2012,1236,34827,21379,127751,26304,10251,36634,45216,410919,14920,10958
"31",35300,"New Haven-Milford",2013,855,33041,19017,130661,25697,8951,40647,48368,415518,15422,11400
"32",35300,"New Haven-Milford",2014,1324,32052,22520,128791,27597,9459,38894,42521,418153,17063,15117
"33",35300,"New Haven-Milford",2015,759,31964,24749,127298,27994,9469,43271,50251,427933,17585,11792
"34",35300,"New Haven-Milford",2016,672,32008,23515,135803,25335,10100,46911,45662,427830,15027,9715
"35",35300,"New Haven-Milford",2017,1113,32738,24616,135202,26408,6597,39843,46731,427676,18609,13445
"36",35300,"New Haven-Milford",2018,1110,36817,26600,130378,27476,7685,40062,50149,432459,19112,9828
"37",35620,"New York-Newark-Jersey City",2013,20944,853510,529839,2431202,866478,315326,1247787,995454,9474555,528725,273613
"38",35620,"New York-Newark-Jersey City",2014,18836,899727,548144,2471796,867890,328321,1268273,1023845,9678171,564655,274054
"39",35620,"New York-Newark-Jersey City",2015,18062,912943,558696,2510898,876162,330899,1291235,1017492,9795868,585949,284683
"40",35620,"New York-Newark-Jersey City",2016,22397,910766,555876,2495949,902296,323989,1315942,1025372,9848725,592025,277188
"41",35620,"New York-Newark-Jersey City",2017,19406,900956,574315,2607168,894914,328911,1360904,1012574,10041694,612802,270291
"42",35620,"New York-Newark-Jersey City",2018,19677,882744,589453,2584034,885350,312400,1381811,963735,9934539,637304,262614
"43",35620,"New York-Northern New Jersey-Long Island",2010,16576,730862,495186,2225199,845219,298979,1094745,909365,8782161,501470,268673
"44",35620,"New York-Northern New Jersey-Long Island",2011,16368,780950,478377,2221858,840598,296278,1112056,947700,8832391,502352,257331
"45",35620,"New York-Northern New Jersey-Long Island",2012,16396,817230,506384,2301804,829376,294812,1158815,978457,9018333,493047,258831
"46",35980,"Norwich-New London",2010,339,22490,7269,31296,5148,2033,12439,15000,133119,5472,2644
"47",35980,"Norwich-New London",2011,728,21347,6392,31507,5436,2481,10101,15744,129268,4788,2358
"48",35980,"Norwich-New London",2012,979,24804,5042,33110,5541,1706,11246,14528,133662,6035,2471
"49",35980,"Norwich-New London",2013,501,22335,8682,31624,5870,1831,12923,14654,136491,5057,2575
"50",35980,"Norwich-New London",2014,682,23938,8708,34067,5720,1230,11692,14236,136304,5663,1445
"51",35980,"Norwich-New London",2015,713,18641,6839,32086,7027,2650,12351,16784,131346,6027,2050
"52",35980,"Norwich-New London",2016,1066,22722,7224,31547,5879,2239,11486,16457,136922,5942,2945
"53",35980,"Norwich-New London",2017,700,20194,7857,31242,5808,2049,13170,13077,130248,4956,1798
"54",35980,"Norwich-New London",2018,1674,18597,7056,29451,6846,1747,10128,16020,132998,5827,3031
"55",45860,"Torrington",2010,1118,7300,6671,25409,7190,2155,11080,9852,97532,3320,2537
"56",45860,"Torrington",2011,1115,7570,8601,27908,6150,1893,9589,9883,97079,3090,1840
"57",45860,"Torrington",2012,837,7851,9556,26996,7697,2256,9846,11243,100105,3751,2074
"58",45860,"Torrington",2013,1269,7995,6408,27726,7066,2152,9641,10321,99698,2952,1496
"59",45860,"Torrington",2014,1076,7206,6515,25781,6539,2058,10033,11526,96746,3480,2173
"60",45860,"Torrington",2015,981,7610,7233,24494,6246,2265,8268,10925,96620,4135,2236
"61",45860,"Torrington",2016,1018,6733,8741,23462,6286,3330,9127,12358,98700,2373,1780
"62",45860,"Torrington",2017,978,7376,6614,24275,7037,2667,10914,12428,97221,3638,1508
"63",45860,"Torrington",2018,772,7708,6021,24439,6502,1655,10305,10287,96288,3766,2035
"64",49340,"Worcester",2010,2179,27658,19506,105852,23046,7357,39442,41093,381625,15674,10060
"65",49340,"Worcester",2011,1325,31801,24348,102040,25753,7764,39103,44700,389542,15712,11029
"66",49340,"Worcester",2012,1555,30260,21119,108603,25417,7637,46798,49946,396201,15385,9867
"67",49340,"Worcester",2013,2302,36092,26856,127113,27693,8791,49998,53780,457998,17896,12336
"68",49340,"Worcester",2014,3590,39276,27656,127275,29594,9652,50306,56679,472687,18383,10661
"69",49340,"Worcester",2015,3063,41813,26136,130740,28890,8281,47512,58225,468421,17015,11754
"70",49340,"Worcester",2016,2389,36159,33271,132451,27943,10028,51084,55890,481289,20772,12034
"71",49340,"Worcester",2017,3360,39915,31674,131314,29445,8806,48972,53597,473591,20648,10643
"72",49340,"Worcester",2018,2604,37907,29797,137742,30503,8668,53526,52407,485670,24702,11701
